gene,gene_id,scaffold,auxiliary_score,amg_flags,gene_description,module,sheet,header,subheader,potential_amg,gene_id_origin,metabolism,reference,verified,pass_score,pass_cutoff,function,stress_class,contig,in_wet,in_dry,wet_rpkm,dry_rpkm,detection
WATLvirus_00271562-cat_1_32,PF13385,WATLvirus_00271562-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271562,True,False,51.29671,0.0,wet only
WATLvirus_00271566-cat_1_28,PF03567,WATLvirus_00271566-cat_1,2,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00271566,True,False,349.8564,0.0,wet only
WATLvirus_00271571-cat_1_34,PF13385,WATLvirus_00271571-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00271571,True,False,84.97776,0.0,wet only
WATLvirus_00297778-cat_1_14,PF13640,WATLvirus_00297778-cat_1,2,MK,2OG-Fe(II) oxygenase superfamily,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Energy & electron transp,,WATLvirus_00297778,True,False,1009.829256,0.0,wet only
WATLvirus_00305836-cat_1_86,PF02543,WATLvirus_00305836-cat_1,1,MK,Carbamoyltransferase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Nucleotide metabolism,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_89,PF13469,WATLvirus_00305836-cat_1,1,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_97,PF01467,WATLvirus_00305836-cat_1,1,MK,Cytidylyltransferase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Nucleotide metabolism,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_109,PF13385,WATLvirus_00305836-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_113,PF13385,WATLvirus_00305836-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_119,PF13385,WATLvirus_00305836-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_126,PF13385,WATLvirus_00305836-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00305836-cat_1_163,PF02562,WATLvirus_00305836-cat_1,1,MK,phoH; phosphate starvation-inducible protein,,,,,,amg_database,,Zeng et al. 2012; Sullivan et al. 2005,False,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00305836,False,True,0.0,594.0523,dry only
WATLvirus_00306907-cat_1_7,PF00685,WATLvirus_00306907-cat_1,1,MK,Sulfotransferase domain,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00306907,True,False,83.69841,0.0,wet only
WATLvirus_00306907-cat_1_11,EC:3.1.3.1,WATLvirus_00306907-cat_1,1,MKE,phoA; alkaline phosphatase,M00126,,,,,amg_database,,Zeng et al. 2012,True,True,True,Phosphate / nutrient,Phosphate starvation,WATLvirus_00306907,True,False,83.69841,0.0,wet only
WATLvirus_00307730-cat_1_53,PF13385,WATLvirus_00307730-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00307730,False,False,0.0,0.0,not detected
WATLvirus_00307730-cat_1_94,PF00534,WATLvirus_00307730-cat_1,2,MK,Glycosyl transferases group 1,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00307730,False,False,0.0,0.0,not detected
WATLvirus_00308395-cat_1_14,PF04724,WATLvirus_00308395-cat_1,1,MK,Glycosyltransferase family 17,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00308395,True,True,137.229234,279.6939,both
WATLvirus_00309330-cat_1_17,PF13385,WATLvirus_00309330-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00309330,False,True,0.0,104.01288,dry only
WATLvirus_00311479-cat_1_12,PF01832,WATLvirus_00311479-cat_1,1,MK,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00311479,False,False,0.0,0.0,not detected
WATLvirus_00315012-cat_1_16,PF00685,WATLvirus_00315012-cat_1,1,MK,Sulfotransferase domain,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00315012,False,True,0.0,170.03714,dry only
WATLvirus_00315051-cat_1_30,PF02801,WATLvirus_00315051-cat_1,2,MK,"Beta-ketoacyl synthase, C-terminal domain",,,,,,amg_database,M,Roux et al. 2016,False,True,True,Lipid metabolism,,WATLvirus_00315051,False,True,0.0,25.913572,dry only
WATLvirus_00315525-cat_1_70,PF00266,WATLvirus_00315525-cat_1,2,MK,Aminotransferase class-V,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Amino-acid metabolism,,WATLvirus_00315525,False,True,0.0,104.15583,dry only
WATLvirus_00320277-cat_1_40,PF02867,WATLvirus_00320277-cat_1,1,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00320277,False,True,0.0,56.793896,dry only
WATLvirus_00320882-cat_1_50,PF00685,WATLvirus_00320882-cat_1,1,MK,Sulfotransferase domain,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00320882,False,True,0.0,57.78453,dry only
WATLvirus_00321390-cat_1_21,PF13385,WATLvirus_00321390-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00321390,False,False,0.0,0.0,not detected
WATLvirus_00321608-cat_1_85,PF13640,WATLvirus_00321608-cat_1,2,MK,2OG-Fe(II) oxygenase superfamily,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Energy & electron transp,,WATLvirus_00321608,True,True,43.197647,27.53004,both
WATLvirus_00321608-cat_1_203,PF02867,WATLvirus_00321608-cat_1,1,MKE,nrdA/nrdB; ribonucleotide reductase (RNR),M00053,,,,,amg_database,,Thompson et al. 2011; Sullivan et al. 2005,True,True,True,Nucleotide metabolism,,WATLvirus_00321608,True,True,43.197647,27.53004,both
WATLvirus_00321608-cat_1_212,PF03567,WATLvirus_00321608-cat_1,2,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00321608,True,True,43.197647,27.53004,both
WATLvirus_00321608-cat_1_246,PF03567,WATLvirus_00321608-cat_1,2,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00321608,True,True,43.197647,27.53004,both
WATLvirus_00321608-cat_1_247,PF03567,WATLvirus_00321608-cat_1,2,MK,Sulfotransferase family,,,,,,amg_database,,Roux et al. 2016,False,True,True,Sulfur / nitrogen,,WATLvirus_00321608,True,True,43.197647,27.53004,both
WATLvirus_00321631-cat_1_31,PF01832,WATLvirus_00321631-cat_1,2,MK,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00321631,False,False,0.0,0.0,not detected
WATLvirus_00321631-cat_1_73,PF00550,WATLvirus_00321631-cat_1,2,MK,Phosphopantetheine attachment site,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00321631,False,False,0.0,0.0,not detected
WATLvirus_00323658-cat_1_53,PF13385,WATLvirus_00323658-cat_1,1,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00323658,True,True,243.34216,125.576965,both
WATLvirus_00323893-cat_1_77,PF13532,WATLvirus_00323893-cat_1,2,MK,2OG-Fe(II) oxygenase superfamily,,,,,,amg_database,M,Roux et al. 2016,False,True,True,Energy & electron transp,,WATLvirus_00323893,False,True,0.0,132.91853,dry only
WATLvirus_00325602-cat_1_75,PF01242,WATLvirus_00325602-cat_1,2,MK,6-pyruvoyl tetrahydropterin synthase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00325602,False,False,0.0,0.0,not detected
WATLvirus_00327589-cat_1_116,PF13385,WATLvirus_00327589-cat_1,2,MK,Concanavalin A-like lectin; extracellular arabinase,,,,,,amg_database,,Emerson et al. 2018,False,True,True,Carbohydrate / CAZy,,WATLvirus_00327589,False,False,0.0,0.0,not detected
WATLvirus_00328165-cat_1_22,PF01832,WATLvirus_00328165-cat_1,1,MK,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,,,,,,amg_database,,Roux et al. 2016,False,True,True,Carbohydrate / CAZy,,WATLvirus_00328165,False,True,0.0,603.5344,dry only
