gene	gene_id	scaffold	auxiliary_score	amg_flags	gene_description	module	sheet	header	subheader	potential_amg	gene_id_origin	metabolism	reference	verified
WATLvirus_00317027-cat_2_3	K01784	WATLvirus_00317027-cat_2	3	MKF	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00317027-cat_2_3	K01784	WATLvirus_00317027-cat_2	3	MKF	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	True	genome_summary_form			
WATLvirus_00317027-cat_2_3	K01784	WATLvirus_00317027-cat_2	3	MKF	UDP-glucose 4-epimerase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	True	genome_summary_form			
WATLvirus_00317145-cat_2_3	K00943	WATLvirus_00317145-cat_2	3	MF	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00317145-cat_2_5	K00525	WATLvirus_00317145-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00317647-cat_2_8	K00558	WATLvirus_00317647-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00318331-cat_2_2	K02970	WATLvirus_00318331-cat_2	3	MF	small subunit ribosomal protein S21	Ribosome, bacteria	MISC	Information systems		True	genome_summary_form			
WATLvirus_00318915-cat_2_7	K00525	WATLvirus_00318915-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00319017-cat_2_6	K00525	WATLvirus_00319017-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00319704-cat_2_3	K02040	WATLvirus_00319704-cat_2	3	MKEF	pstS; phosphate transport system substrate-binding protein	Phosphate transport system	Transporters			True	genome_summary_form			
WATLvirus_00319925-cat_1_135	K00943	WATLvirus_00319925-cat_1	2	M	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00319977-cat_1_3	U69	WATLvirus_00319977-cat_1	2	MF	Self-processing occurs at the Ser846|+|Ala bond.	Self-processing peptidases	Organic Nitrogen	Peptidase		True	genome_summary_form			
WATLvirus_00320717-cat_2_12	K01494	WATLvirus_00320717-cat_2	3	MF	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00320741-cat_2_11	K00558	WATLvirus_00320741-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00320776-cat_1_72	K00943	WATLvirus_00320776-cat_1	2	M	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00320776-cat_1_74	K01494	WATLvirus_00320776-cat_1	2	M	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00320776-cat_1_75	K00525	WATLvirus_00320776-cat_1	2	MKE	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00320882-cat_1_76	K01520	WATLvirus_00320882-cat_1	1	M	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00320891-cat_1_7	K02703	WATLvirus_00320891-cat_1	2	MKEF	psbA; photosystem II reaction center D1 protein [EC:1.10.3.9]	Photosystem II	Energy	Photosynthesis		True	genome_summary_form			
WATLvirus_00320912-cat_2_14	K00943	WATLvirus_00320912-cat_2	3	MF	dTMP kinase [EC:2.7.4.9] [RN:R02094]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00320957-cat_2_12	K00558	WATLvirus_00320957-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00321088-cat_2_5	K01494	WATLvirus_00321088-cat_2	3	MF	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00321116-cat_2_2	K00526	WATLvirus_00321116-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00321278-cat_2_17	K02935	WATLvirus_00321278-cat_2	3	MF	large subunit ribosomal protein L7/L12	Ribosome, bacteria	MISC	Information systems		True	genome_summary_form			
WATLvirus_00321519-cat_2_2	K00558	WATLvirus_00321519-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00321608-cat_1_73	K01494	WATLvirus_00321608-cat_1	2	M	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00321631-cat_1_7	K00560	WATLvirus_00321631-cat_1	2	MF	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00321631-cat_1_66	K01784	WATLvirus_00321631-cat_1	2	MK	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00321631-cat_1_66	K01784	WATLvirus_00321631-cat_1	2	MK	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	True	genome_summary_form			
WATLvirus_00321631-cat_1_66	K01784	WATLvirus_00321631-cat_1	2	MK	UDP-glucose 4-epimerase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	True	genome_summary_form			
WATLvirus_00321631-cat_1_90	K01520	WATLvirus_00321631-cat_1	2	M	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00321714-cat_2_2	K00558	WATLvirus_00321714-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00322261-cat_2_7	K09883	WATLvirus_00322261-cat_2	3	MKF	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00322374-cat_2_5	K00558	WATLvirus_00322374-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00322728-cat_2_4	U69	WATLvirus_00322728-cat_2	3	MF	Self-processing occurs at the Ser846|+|Ala bond.	Self-processing peptidases	Organic Nitrogen	Peptidase		True	genome_summary_form			
WATLvirus_00323076-cat_2_7	K00558	WATLvirus_00323076-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00323436-cat_1_7	K00558	WATLvirus_00323436-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00323510-cat_1_6	K00525	WATLvirus_00323510-cat_1	2	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00323684-cat_2_3	K02935	WATLvirus_00323684-cat_2	3	MF	large subunit ribosomal protein L7/L12	Ribosome, bacteria	MISC	Information systems		True	genome_summary_form			
WATLvirus_00323908-cat_2_4	K01251	WATLvirus_00323908-cat_2	3	MKF	adenosylhomocysteinase [EC:3.3.1.1] [RN:R00192]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00324692-cat_2_6	K00525	WATLvirus_00324692-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00324990-cat_1_9	K00525	WATLvirus_00324990-cat_1	2	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00325016-cat_2_4	K09882	WATLvirus_00325016-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00325388-cat_2_9	K00558	WATLvirus_00325388-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00326171-cat_2_2	K00558	WATLvirus_00326171-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00326184-cat_2_3	K00558	WATLvirus_00326184-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00326686-cat_2_3	K00558	WATLvirus_00326686-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00327316-cat_1_10	K00558	WATLvirus_00327316-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00327425-cat_1_44	K01494	WATLvirus_00327425-cat_1	1	M	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00327503-cat_2_3	K01494	WATLvirus_00327503-cat_2	3	MF	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00327867-cat_2_8	K00558	WATLvirus_00327867-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00328165-cat_1_35	K01520	WATLvirus_00328165-cat_1	1	M	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00328311-cat_1_2	U69	WATLvirus_00328311-cat_1	2	MF	Self-processing occurs at the Ser846|+|Ala bond.	Self-processing peptidases	Organic Nitrogen	Peptidase		True	genome_summary_form			
WATLvirus_00000044-cat_2_3	PF01227	WATLvirus_00000044-cat_2	3	MKF	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00000051-cat_2_3	PF02867	WATLvirus_00000051-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00000051-cat_2_3	PF00317	WATLvirus_00000051-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00000051-cat_2_3	EC:1.17.4.1	WATLvirus_00000051-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00000051-cat_2_3	K00525	WATLvirus_00000051-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00004243-cat_2_11	PF11775	WATLvirus_00004243-cat_2	3	MKF	Cobalamin biosynthesis protein CobT VWA domain						amg_database		Roux et al. 2016	False
WATLvirus_00004243-cat_2_11	PF06213	WATLvirus_00004243-cat_2	3	MKF	Cobalamin biosynthesis protein CobT						amg_database		Roux et al. 2016	False
WATLvirus_00007469-cat_2_40	PF01734	WATLvirus_00007469-cat_2	3	MK	Patatin-like phospholipase						amg_database		Roux et al. 2016	False
WATLvirus_00007531-cat_2_11	PF02867	WATLvirus_00007531-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00007531-cat_2_11	PF00317	WATLvirus_00007531-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00007531-cat_2_11	EC:1.17.4.1	WATLvirus_00007531-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00007531-cat_2_11	K00525	WATLvirus_00007531-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00007545-cat_2_5	PF02562	WATLvirus_00007545-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00007545-cat_2_5	K06217	WATLvirus_00007545-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00007648-cat_2_7	PF02562	WATLvirus_00007648-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00007648-cat_2_7	K06217	WATLvirus_00007648-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00007703-cat_1_6	PF00534	WATLvirus_00007703-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00012494-cat_1_63	PF11775	WATLvirus_00012494-cat_1	2	MK	Cobalamin biosynthesis protein CobT VWA domain						amg_database		Roux et al. 2016	False
WATLvirus_00012494-cat_1_74	PF02867	WATLvirus_00012494-cat_1	2	MKE	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00012494-cat_1_74	EC:1.17.4.1	WATLvirus_00012494-cat_1	2	MKE	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00012494-cat_1_74	K00525	WATLvirus_00012494-cat_1	2	MKE	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00012605-cat_2_10	PF02562	WATLvirus_00012605-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00012605-cat_2_10	K06217	WATLvirus_00012605-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00020005-cat_1_11	PF02562	WATLvirus_00020005-cat_1	2	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00020005-cat_1_11	K06217	WATLvirus_00020005-cat_1	2	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00020019-cat_2_5	PF02867	WATLvirus_00020019-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00020019-cat_2_5	PF00317	WATLvirus_00020019-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00020019-cat_2_6	PF00596	WATLvirus_00020019-cat_2	3	MKF	Class II Aldolase and Adducin N-terminal domain						amg_database	M	Roux et al. 2016	False
WATLvirus_00020079-cat_1_4	PF13759	WATLvirus_00020079-cat_1	2	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00020085-cat_2_6	PF01467	WATLvirus_00020085-cat_2	3	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00020085-cat_2_6	PF01050	WATLvirus_00020085-cat_2	3	MKF	manA; mannose-6-phosphate isomerase						amg_database	M	Roux et al. 2016; Hurwitz et al. 2015	False
WATLvirus_00020090-cat_2_6	PF01242	WATLvirus_00020090-cat_2	3	MKF	6-pyruvoyl tetrahydropterin synthase						amg_database		Roux et al. 2016	False
WATLvirus_00020090-cat_2_9	PF00106	WATLvirus_00020090-cat_2	3	MKF	short chain dehydrogenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00020090-cat_2_10	PF01073	WATLvirus_00020090-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00020090-cat_2_10	PF01370	WATLvirus_00020090-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00020090-cat_2_10	PF04321	WATLvirus_00020090-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00020092-cat_2_10	PF01227	WATLvirus_00020092-cat_2	3	MKF	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00020112-cat_2_9	PF01467	WATLvirus_00020112-cat_2	3	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00020125-cat_2_7	PF13759	WATLvirus_00020125-cat_2	3	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00020148-cat_2_7	PF01467	WATLvirus_00020148-cat_2	3	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00020150-cat_2_6	PF00534	WATLvirus_00020150-cat_2	3	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00020156-cat_2_3	PF01073	WATLvirus_00020156-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00020156-cat_2_3	PF01370	WATLvirus_00020156-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00020156-cat_2_3	PF04321	WATLvirus_00020156-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00020156-cat_2_4	PF01073	WATLvirus_00020156-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00020156-cat_2_4	PF01370	WATLvirus_00020156-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00020156-cat_2_4	PF04321	WATLvirus_00020156-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00020178-cat_2_4	PF01467	WATLvirus_00020178-cat_2	3	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00020182-cat_2_4	PF01073	WATLvirus_00020182-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00020182-cat_2_4	PF00106	WATLvirus_00020182-cat_2	3	MKF	short chain dehydrogenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00020182-cat_2_4	PF01370	WATLvirus_00020182-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00020182-cat_2_4	PF04321	WATLvirus_00020182-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00020190-cat_2_4	PF01762	WATLvirus_00020190-cat_2	3	MKF	Galactosyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00020193-cat_2_4	PF00291	WATLvirus_00020193-cat_2	3	MKF	Pyridoxal-phosphate dependent enzyme						amg_database	M	Roux et al. 2016	False
WATLvirus_00020238-cat_2_2	PF01227	WATLvirus_00020238-cat_2	3	MKF	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00024523-cat_1_26	PF13385	WATLvirus_00024523-cat_1	2	MK	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00024523-cat_1_27	PF13385	WATLvirus_00024523-cat_1	2	MK	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00024523-cat_1_48	PF01242	WATLvirus_00024523-cat_1	2	MK	6-pyruvoyl tetrahydropterin synthase						amg_database		Roux et al. 2016	False
WATLvirus_00024523-cat_1_49	PF01227	WATLvirus_00024523-cat_1	2	MK	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00024523-cat_1_51	PF06508	WATLvirus_00024523-cat_1	2	MK	Queuosine biosynthesis protein QueC						amg_database		Roux et al. 2016	False
WATLvirus_00024523-cat_1_52	PF14489	WATLvirus_00024523-cat_1	2	MK	QueF-like protein						amg_database		Roux et al. 2016	False
WATLvirus_00024523-cat_1_52	PF14819	WATLvirus_00024523-cat_1	2	MK	Nitrile reductase, 7-cyano-7-deazaguanine-reductase N-term						amg_database	M	Roux et al. 2016	False
WATLvirus_00024759-cat_2_3	PF02867	WATLvirus_00024759-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00024759-cat_2_3	PF00317	WATLvirus_00024759-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00024759-cat_2_3	PF03477	WATLvirus_00024759-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00036381-cat_1_44	PF01242	WATLvirus_00036381-cat_1	1	MK	6-pyruvoyl tetrahydropterin synthase						amg_database		Roux et al. 2016	False
WATLvirus_00036381-cat_1_46	PF01227	WATLvirus_00036381-cat_1	1	MK	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00036449-cat_2_3	PF01242	WATLvirus_00036449-cat_2	3	MKF	6-pyruvoyl tetrahydropterin synthase						amg_database		Roux et al. 2016	False
WATLvirus_00036501-cat_1_4	EC:1.17.4.1	WATLvirus_00036501-cat_1	2	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00036501-cat_1_6	PF02867	WATLvirus_00036501-cat_1	2	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00036506-cat_2_2	PF11775	WATLvirus_00036506-cat_2	3	MKF	Cobalamin biosynthesis protein CobT VWA domain						amg_database		Roux et al. 2016	False
WATLvirus_00036506-cat_2_2	PF06213	WATLvirus_00036506-cat_2	3	MKF	Cobalamin biosynthesis protein CobT						amg_database		Roux et al. 2016	False
WATLvirus_00036631-cat_1_6	PF00534	WATLvirus_00036631-cat_1	1	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00045923_provirus_2_121232-cat_1_5	PF03567	WATLvirus_00045923_provirus_2_121232-cat_1	2	MK	Sulfotransferase family						amg_database		Roux et al. 2016	False
WATLvirus_00045926-cat_1_43	PF02867	WATLvirus_00045926-cat_1	2	MKE	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00045926-cat_1_70	PF11775	WATLvirus_00045926-cat_1	2	MK	Cobalamin biosynthesis protein CobT VWA domain						amg_database		Roux et al. 2016	False
WATLvirus_00045926-cat_1_83	PF02562	WATLvirus_00045926-cat_1	2	MK	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00045926-cat_1_83	K06217	WATLvirus_00045926-cat_1	2	MK	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00045927-cat_1_28	PF03567	WATLvirus_00045927-cat_1	1	MK	Sulfotransferase family						amg_database		Roux et al. 2016	False
