bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220806_BK_F6D_DNA_brine_bin.16,72.3,0,0,1850484,6092,162_1,220815_LF_B1_DNA_brine_A_bin.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.17,56.49,1.16,66.67,1818689,6307,246_1,220806_BK_F6D_DNA_brine_bin.17,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__
220806_BK_F6D_DNA_brine_bin.18,94.16,0.87,20,2823963,23429,110_1,220806_BK_F6D_DNA_brine_bin.18,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum sp000416005,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloquadratum;s__
220806_BK_F6D_DNA_brine_bin.19,88.95,1.2,33.33,2055483,29473,129_1,220815_LF_B3_DNA_brine_A_bin.3,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.2,35.51,2.8,0,1048852,24956,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__
220806_BK_F6D_DNA_brine_bin.20,0,0,0,446727,5233,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6D_DNA_brine_bin.21,94.05,0.83,66.67,1653387,22437,201_1,220808_BK_F14_DNA_brine_C_bin.30,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-5-70-15;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.22,90.23,1.91,20,3250528,15087,191_0,220806_BK_F6D_DNA_brine_bin.22,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloglomus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloglomus;s__
220806_BK_F6D_DNA_brine_bin.23,11.84,0,0,300742,3047,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.25,32.51,1.45,11.11,1319150,4113,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220806_BK_F6D_DNA_brine_bin.27,13.55,0,0,436074,3161,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.28,8.33,0,0,405765,3347,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6D_DNA_brine_bin.3,0,0,0,669493,5837,NA,NA,Unclassified,Unclassified
220806_BK_F6D_DNA_brine_bin.31,48.43,0.23,50,1446576,4357,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.33,37.84,0.63,0,1038011,9745,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloplanus;s__
220806_BK_F6D_DNA_brine_bin.34,35.51,0.93,0,1395132,4942,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__
220806_BK_F6D_DNA_brine_bin.35,0,0,0,360604,4610,NA,NA,Unclassified,Unclassified
220806_BK_F6D_DNA_brine_bin.36,90.25,126.47,21.35,7614316,5773,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halobellus;s__
220806_BK_F6D_DNA_brine_bin.37,11.21,0,0,588874,4222,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__Halonotius sp000496215,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halonotius;s__
220806_BK_F6D_DNA_brine_bin.4,33.96,0.93,100,779758,3736,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.5,42.64,0.38,0,951565,4049,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_brine_bin.7,8.33,0,0,821764,4536,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter ruber,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__Salinibacter ruber
220806_BK_F6D_DNA_brine_bin.8,0.89,0,0,421196,5162,NA,NA,Unclassified,Unclassified
220806_BK_F6D_DNA_sed_bin.10,39.28,1.73,7.69,1123107,3729,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halanaeroarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halanaeroarchaeum;s__
220806_BK_F6D_DNA_sed_bin.12,64.87,2.42,33.33,2940476,6945,252_1,220806_BK_F6D_DNA_sed_bin.12,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.14,39.83,0,0,906313,5023,NA,NA,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__M55B111;f__M55B111;g__JAGXLP01;s__,d__Bacteria;p__Candidatus Bipolaricaulota;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.15,34.41,0,0,711055,3584,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.16,12.5,0,0,1081094,4322,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__
220806_BK_F6D_DNA_sed_bin.17,6.45,0,0,372524,3433,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6D_DNA_sed_bin.18,71.83,0,0,2002059,5030,212_1,220806_BK_F6D_DNA_sed_bin.18,d__Bacteria;p__Planctomycetota;c__Brocadiia;o__SM23-32;f__;g__;s__,d__Bacteria;p__Planctomycetes;c__Candidatus Brocadiia;o__Candidatus Brocadiales;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.19,27.57,0,0,1010538,4626,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__
220806_BK_F6D_DNA_sed_bin.2,20.3,1.06,0,508003,3166,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Arhodomonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Arhodomonas;s__
220806_BK_F6D_DNA_sed_bin.20,27.93,0,0,1719137,4978,NA,NA,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.21,88.24,1.53,20,2633514,12386,123_1,220806_BK_F6D_DNA_sed_bin.21,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halapricum;s__
220806_BK_F6D_DNA_sed_bin.22,25.83,0.43,0,884813,3307,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__CAJXKW01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Limimonas;s__
220806_BK_F6D_DNA_sed_bin.23,19.65,0,0,375458,3210,NA,NA,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__JAHEOA01;s__,d__Bacteria;p__Candidatus Bipolaricaulota;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.25,19.55,1.87,0,1172007,3314,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__PXRE01;g__PXRE01;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.27,12.62,0,0,590891,3342,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__
220806_BK_F6D_DNA_sed_bin.28,23.44,0,0,684968,3406,NA,NA,d__Bacteria;p__Planctomycetota;c__Brocadiia;o__SM23-32;f__SM23-32;g__;s__,d__Bacteria;p__Planctomycetes;c__Candidatus Brocadiia;o__Candidatus Brocadiales;f__Candidatus Brocadiaceae;g__;s__
220806_BK_F6D_DNA_sed_bin.31,6.6,0.47,0,1198358,3179,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__
220806_BK_F6D_DNA_sed_bin.33,42.74,5.61,0,1950409,5455,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__
220806_BK_F6D_DNA_sed_bin.34,91.98,4.68,13.33,2550905,15924,206_0,220806_BK_F6D_DNA_sed_bin.34,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.35,55.21,0.95,0,2032770,5005,36_0,220806_BK_F6D_DNA_sed_bin.35,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAGXLC01;g__JAGXLC01;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.36,14.02,0,0,376301,3179,NA,NA,Unclassified Archaea,Unclassified Archaea
220806_BK_F6D_DNA_sed_bin.37,0,0,0,205209,2856,NA,NA,Unclassified Archaea,Unclassified Archaea
220806_BK_F6D_DNA_sed_bin.38,15.65,0,0,434924,3174,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.39,50.47,0,0,1225746,4375,146_0,220806_BK_F6D_DNA_sed_bin.39,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__
220806_BK_F6D_DNA_sed_bin.4,26.04,0,0,492520,3896,NA,NA,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__M55B111;f__M55B111;g__JAGXLP01;s__,d__Bacteria;p__Candidatus Bipolaricaulota;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.5,42.37,0.85,66.67,913038,4099,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halodesulfurarchaeum;s__
220806_BK_F6D_DNA_sed_bin.6,77,2.8,10,2893269,11834,137_1,220807_MW_S7_DNA_Sed_B_bin.14,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__
220806_BK_F6D_DNA_sed_bin.7,42.52,0,0,2992863,5745,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-5-70-15;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.8,25.52,1.9,72.73,1405509,3221,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220806_BK_F6D_DNA_sed_bin.9,32.55,0,0,449088,4159,NA,NA,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__M55B111;f__M55B111;g__JAGXLP01;s__,d__Bacteria;p__Candidatus Bipolaricaulota;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_brine_bin.1,46.23,0,0,1037738,10471,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA6147;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Micavibrio;s__
220806_BK_F6E_DNA_brine_bin.10,21.72,1.72,0,806274,3991,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA956;s__,d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
220806_BK_F6E_DNA_brine_bin.11,70.66,1.81,16.67,2225249,4886,295_1,220806_BK_F6E_DNA_mat_brown_bin.17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
220806_BK_F6E_DNA_brine_bin.12,72.85,3.51,26.67,3878150,6841,298_1,220806_BK_F6E_DNA_brine_bin.12,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220806_BK_F6E_DNA_brine_bin.13,32.76,0,0,3591716,11489,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Tunicatimonas;s__,d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Catalimonadaceae;g__Tunicatimonas;s__
220806_BK_F6E_DNA_brine_bin.15,71.49,1.6,30,2895125,8034,458_1,220805_MW_S4_DNA_Brine_bin.10,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_brine_bin.17,82.81,2.4,23.08,3036161,7333,507_0,220806_BK_F6E_DNA_brine_bin.17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Congregibacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__
220806_BK_F6E_DNA_brine_bin.18,95.53,1.46,50,2904535,25828,435_1,220806_BK_F6E_DNA_sed_beige_bin.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_brine_bin.2,98.24,1.35,0,2131978,27315,329_0,220806_BK_F6E_DNA_brine_bin.2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__,d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_brine_bin.20,21.47,0,0,691023,5125,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__CAJXNI01;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_brine_bin.22,90.47,1.52,41.67,2975864,15413,472_1,220811_JW_F18_DNA_Brine_B_bin.7,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAIVHI01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Loktanella;s__
220806_BK_F6E_DNA_brine_bin.24,63.48,29,0,34632227,5857,NA,NA,d__Archaea;p__Thermoproteota;c__JANJXX01;o__;f__;g__;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_brine_bin.25,31.03,0,0,660735,5397,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__
220806_BK_F6E_DNA_brine_bin.26,46.55,0,0,2110655,5119,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_brine_bin.27,1.45,0.3,50,481417,8390,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_brine_bin.28,86.13,1.41,50,3875453,9591,453_0,220806_BK_F6E_DNA_brine_bin.28,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Citreimonas;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Citreimonas;s__
220806_BK_F6E_DNA_brine_bin.29,6.9,0,0,476214,3865,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_brine_bin.3,58.04,0,0,2076722,5974,440_1,220811_JW_F20_DNA_Brine_A_bin.7,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_brine_bin.5,53.35,0.69,50,935293,5765,331_0,220806_BK_F6E_DNA_brine_bin.5,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Pontimonas;s__
220806_BK_F6E_DNA_brine_bin.7,0.78,0,0,597941,6013,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_brine_bin.8,0,0,0,456890,5538,NA,NA,Unclassified,Unclassified
220806_BK_F6E_DNA_mat_brown_bin.1,54.07,2.52,16.67,1424159,4344,288_0,220806_BK_F6E_DNA_mat_brown_bin.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__XN24;f__XN24;g__XN24;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__
220806_BK_F6E_DNA_mat_brown_bin.10,60.91,1.98,22.22,3015624,4634,298_1,220806_BK_F6E_DNA_brine_bin.12,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.12,73.17,0.75,50,2343751,5887,403_1,220806_BK_F6E_DNA_sed_beige_bin.44,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.14,90.29,2.04,20,4577664,11392,41_1,220806_BK_F6E_DNA_sed_beige_bin.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.15,40.82,1.54,16.67,1335000,4220,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.16,76.6,0.34,0,2474926,7584,48_1,220806_BK_F6E_DNA_mat_green_bin.12,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__,d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.17,94.75,2.88,0,3306175,14476,295_1,220806_BK_F6E_DNA_mat_brown_bin.17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.18,73.46,2.17,18.18,2563934,5103,305_1,220806_BK_F6E_DNA_mat_orange_bin.21,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.19,93.73,0.85,0,3084264,11858,322_1,220806_BK_F6E_DNA_sed_beige_bin.50,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nitriliruptorales;f__Nitriliruptoraceae;g__T1Sed10-7;s__,d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.2,94.09,0.48,0,3578536,26444,47_1,220806_BK_F6E_DNA_mat_brown_bin.2,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__SS1-B-03-39;f__UBA6053;g__UBA6053;s__,d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.20,45.84,1.35,20,1979164,4279,NA,NA,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SKKL01;g__;s__,d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.21,94.62,0.66,50,3639311,12006,482_1,220806_BK_F6E_DNA_mat_green_bin.9,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__DSM-16000;f__;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.22,7.21,0,0,280596,3366,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_brown_bin.23,24.49,0.59,33.33,975863,5978,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__
220806_BK_F6E_DNA_mat_brown_bin.25,0,0,0,456535,3213,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_brown_bin.27,84.24,1.95,50,2959811,11792,506_1,220806_BK_F6E_DNA_mat_brown_bin.27,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__
220806_BK_F6E_DNA_mat_brown_bin.28,0,0,0,284879,7220,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_brown_bin.3,74.99,0.8,44.44,2973612,5590,284_0,220806_BK_F6E_DNA_mat_brown_bin.3,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__JABBTK01;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
