metagenome_origin	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_277389_length_346_cov_6.807560	346	No terminal repeats	1	11	0.973	NA	1	1.4225	NA	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_242495_length_346_cov_20.230241	346	No terminal repeats	1	11	0.9806	NA	1	1.134	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_235196_length_346_cov_1.903780	346	No terminal repeats	1	11	0.9848	NA	1	1.6999	T_virB2	NA
220807_MW_S7_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_265428_length_346_cov_1.391753	346	No terminal repeats	1	11	0.9865	NA	1	1.7183	NA	NA
220808_BK_F14_DNA_hard_red_contigs_plasmid_summary.tsv	NODE_734721_length_346_cov_1.979381	346	No terminal repeats	1	11	0.9866	NA	1	1.7183	NA	NA
220808_BK_F12_DNA_sed_contigs_plasmid_summary.tsv	NODE_521713_length_346_cov_2.969072	346	No terminal repeats	1	11	0.9867	NA	1	1.7183	NA	NA
220808_MW_S1_DNA_Pore1_5_A_contigs_plasmid_summary.tsv	NODE_126064_length_346_cov_1.549828	346	No terminal repeats	1	11	0.9893	NA	1	1.7183	NA	NA
220806_BK_F6E_DNA_mat_orange_contigs_plasmid_summary.tsv	NODE_460751_length_346_cov_0.986254	346	No terminal repeats	1	11	0.9915	NA	1	1.7183	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_233891_length_347_cov_1.643836	347	No terminal repeats	2	11	0.7062	NA	1	1.0518	G_tfc13	NA
220805_BK_F1_DNA_sed_contigs_plasmid_summary.tsv	NODE_163229_length_347_cov_2.801370	347	No terminal repeats	1	11	0.7066	NA	1	1.172	NA	NA
220811_JW_F17_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_355529_length_347_cov_2.102740	347	No terminal repeats	1	11	0.7258	NA	1	1.0313	T_virB9	NA
220806_BK_F6E_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_252524_length_347_cov_1.633562	347	No terminal repeats	2	11	0.7396	NA	1	1.1986	T_virB3	NA
220805_BK_F1_DNA_brine_contigs_plasmid_summary.tsv	NODE_207522_length_347_cov_2.969178	347	No terminal repeats	1	11	0.7402	NA	1	1.3148	T_virB8	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_674676_length_347_cov_2.208904	347	No terminal repeats	1	11	0.757	NA	1	1.2067	T_virB5	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_676412_length_347_cov_1.212329	347	No terminal repeats	2	11	0.7588	NA	1	1.1275	NA	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_185801_length_347_cov_3.003425	347	No terminal repeats	1	11	0.7631	NA	1	1.1508	I_traI	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_672723_length_347_cov_17.301370	347	No terminal repeats	2	11	0.7712	NA	1	1.1986	T_virB3	NA
220807_BK_F8_DNA_sed_contigs_plasmid_summary.tsv	NODE_169884_length_347_cov_0.948630	347	No terminal repeats	2	11	0.7781	NA	1	1.4882	NA	NA
220808_BK_F12_DNA_salt_contigs_plasmid_summary.tsv	NODE_343571_length_347_cov_2.291096	347	No terminal repeats	2	11	0.7982	NA	1	1.1201	NA	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_725308_length_347_cov_0.972603	347	No terminal repeats	1	11	0.8179	NA	1	1.1953	T_virB6	NA
220807_BK_F8_DNA_plankton_contigs_plasmid_summary.tsv	NODE_292753_length_347_cov_2.811644	347	No terminal repeats	2	11	0.8227	NA	1	1.6999	T_virB2	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_721384_length_347_cov_3.113014	347	No terminal repeats	1	11	0.8263	NA	1	1.1515	I_traN	NA
220816_LF_B6_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_358896_length_347_cov_1.972603	347	No terminal repeats	1	11	0.84	NA	1	1.2444	T_virB6	NA
220805_BK_F3_DNA_sed_contigs_plasmid_summary.tsv	NODE_137766_length_347_cov_3.147260	347	No terminal repeats	1	11	0.8525	NA	1	1.2971	NA	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_368047_length_347_cov_2.643836	347	No terminal repeats	1	11	0.8724	NA	1	1.2067	T_virB5	NA
220808_BK_F13_DNA_mat_red_contigs_plasmid_summary.tsv	NODE_858418_length_347_cov_1.191781	347	No terminal repeats	1	11	0.8811	NA	1	1.1426	NA	NA
220807_MW_S7_DNA_Porewater_2_A_contigs_plasmid_summary.tsv	NODE_701636_length_347_cov_0.914384	347	No terminal repeats	1	11	0.8999	NA	1	1.1201	NA	NA
220807_MW_S8_DNA_Mat_A_contigs_plasmid_summary.tsv	NODE_758602_length_347_cov_0.938356	347	No terminal repeats	2	11	0.9171	NA	1	1.6827	NA	NA
220808_BK_F13_DNA_sed_beige_contigs_plasmid_summary.tsv	NODE_388423_length_347_cov_1.678082	347	No terminal repeats	1	11	0.9197	NA	1	1.1201	NA	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_336551_length_347_cov_4.578767	347	No terminal repeats	1	11	0.9222	NA	1	1.1201	NA	NA
220805_MW_S1_DNA_T4_Sed_B_contigs_plasmid_summary.tsv	NODE_138681_length_347_cov_1.315068	347	No terminal repeats	2	11	0.9238	NA	2	2.2801	T_virB3;T_virB2	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_204723_length_347_cov_1.212329	347	No terminal repeats	1	11	0.9247	NA	1	1.1201	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_432634_length_347_cov_1.476027	347	No terminal repeats	1	11	0.9298	NA	1	1.1151	NA	NA
220807_MW_S8_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_655701_length_347_cov_0.928082	347	No terminal repeats	1	11	0.9312	NA	1	1.1201	NA	NA
220808_BK_F12_DNA_salt_contigs_plasmid_summary.tsv	NODE_342985_length_347_cov_3.945205	347	No terminal repeats	1	11	0.9327	NA	1	1.1201	NA	NA
220807_MW_S8_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_653632_length_347_cov_1.756849	347	No terminal repeats	1	11	0.9336	NA	1	1.1201	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_431527_length_347_cov_2.503425	347	No terminal repeats	1	11	0.9336	NA	1	1.1151	NA	NA
220811_MW_F13_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_550192_length_347_cov_3.308219	347	No terminal repeats	1	11	0.9336	NA	1	1.1201	NA	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_721572_length_347_cov_2.914384	347	No terminal repeats	1	11	0.9366	NA	1	1.1201	NA	NA
220806_BK_F5_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_591231_length_347_cov_35.523973	347	No terminal repeats	1	11	0.9368	NA	1	1.1201	NA	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_159177_length_347_cov_258.085616	347	No terminal repeats	1	11	0.9503	NA	1	0.9293	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_233278_length_347_cov_2.931507	347	No terminal repeats	1	11	0.9523	NA	1	0.9293	NA	NA
220806_BK_F6E_DNA_sed_core_contigs_plasmid_summary.tsv	NODE_302123_length_347_cov_1.945205	347	No terminal repeats	1	11	0.9538	NA	1	1.4894	MOBQ	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_569232_length_347_cov_1.315068	347	No terminal repeats	1	11	0.9566	NA	1	1.5023	NA	NA
220808_BK_F13_DNA_mat_brick_1_contigs_plasmid_summary.tsv	NODE_465202_length_347_cov_3.917808	347	No terminal repeats	1	11	0.9576	NA	1	1.4809	F_traK	NA
220808_BK_F14_DNA_mat_black_1_contigs_plasmid_summary.tsv	NODE_787806_length_347_cov_1.270548	347	No terminal repeats	1	11	0.9598	NA	1	1.3753	NA	NA
220805_BK_F1_DNA_sed_contigs_plasmid_summary.tsv	NODE_163535_length_347_cov_1.643836	347	No terminal repeats	1	11	0.9615	NA	1	1.6894	NA	NA
220811_JW_F20_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_548974_length_347_cov_1.102740	347	No terminal repeats	1	11	0.9892	NA	1	1.7183	NA	NA
220808_BK_F12_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_293128_length_348_cov_1.839590	348	No terminal repeats	1	11	0.7073	NA	1	0.9934	NA	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_718581_length_348_cov_1.672355	348	No terminal repeats	1	11	0.7702	NA	1	1.0015	T_virB10	NA
220808_BK_F13_DNA_mat_brick_1_contigs_plasmid_summary.tsv	NODE_463610_length_348_cov_1.986348	348	No terminal repeats	1	11	0.7843	NA	1	1.2067	T_virB5	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_367185_length_348_cov_1.587031	348	No terminal repeats	2	11	0.7944	NA	1	1.7016	NA	NA
220808_BK_F13_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_618210_length_348_cov_10.662116	348	No terminal repeats	1	11	0.8006	NA	1	1.2063	F_traU	NA
220808_BK_F14_DNA_mat_pink_contigs_plasmid_summary.tsv	NODE_441335_length_348_cov_2.051195	348	No terminal repeats	1	11	0.8134	NA	1	0.9746	T_virB10	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_336130_length_348_cov_1.235495	348	No terminal repeats	1	11	0.833	NA	1	1.0073	T_virB9	NA
220808_BK_F13_DNA_sed_beige_contigs_plasmid_summary.tsv	NODE_384573_length_348_cov_4.027304	348	No terminal repeats	2	11	0.8337	NA	1	1.9805	G_tfc10;G_tfc9	NA
220808_BK_F13_DNA_mat_brick_1_contigs_plasmid_summary.tsv	NODE_462212_length_348_cov_23.436860	348	No terminal repeats	2	11	0.8351	NA	1	1.7156	NA	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_222875_length_348_cov_2.832765	348	No terminal repeats	1	11	0.8406	NA	1	1.3323	NA	NA
220808_BK_F14_DNA_mat_black_1_contigs_plasmid_summary.tsv	NODE_780334_length_348_cov_3.146758	348	No terminal repeats	1	11	0.848	NA	1	1.0188	T_virB8	NA
220808_BK_F13_DNA_mat_brick_1_contigs_plasmid_summary.tsv	NODE_463328_length_348_cov_2.317406	348	No terminal repeats	1	11	0.8573	NA	1	1.2758	G_tfc24	NA
220808_BK_F12_DNA_sed_contigs_plasmid_summary.tsv	NODE_515847_length_348_cov_1.965870	348	No terminal repeats	1	11	0.8606	NA	1	1.2743	NA	NA
220812_MW_F12_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_405653_length_348_cov_3.337884	348	No terminal repeats	1	11	0.8969	NA	1	1.1201	NA	NA
220807_BK_F8_DNA_plankton_contigs_plasmid_summary.tsv	NODE_290601_length_348_cov_5.017065	348	No terminal repeats	1	11	0.9024	NA	1	1.2242	MOBP1	NA
220808_BK_F14_DNA_mat_black_1_contigs_plasmid_summary.tsv	NODE_783318_length_348_cov_1.290102	348	No terminal repeats	1	11	0.9133	NA	1	1.5793	NA	NA
220812_MW_F11_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_537014_length_348_cov_1.686007	348	No terminal repeats	1	11	0.9221	NA	1	1.1201	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_670046_length_348_cov_2.723549	348	No terminal repeats	1	11	0.924	NA	1	1.1275	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_669287_length_348_cov_3.853242	348	No terminal repeats	1	11	0.9319	NA	1	0.9963	NA	NA
220807_MW_S7_DNA_Sed_B_contigs_plasmid_summary.tsv	NODE_656145_length_348_cov_5.672355	348	No terminal repeats	1	11	0.9338	NA	1	1.1201	NA	NA
220808_BK_F13_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_621541_length_348_cov_1.061433	348	No terminal repeats	1	11	0.9361	NA	1	1.5111	NA	NA
220807_MW_S7_DNA_Porewater_1_A_contigs_plasmid_summary.tsv	NODE_933401_length_348_cov_1.150171	348	No terminal repeats	1	11	0.9363	NA	1	1.1201	NA	NA
220813_JW_F25_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_104687_length_348_cov_1.307167	348	No terminal repeats	1	11	0.9364	NA	1	1.5598	NA	NA
220808_BK_F13_DNA_mat_red_contigs_plasmid_summary.tsv	NODE_851729_length_348_cov_1.965870	348	No terminal repeats	1	11	0.9369	NA	1	1.1151	NA	NA
220807_MW_S8_DNA_Mat_A_contigs_plasmid_summary.tsv	NODE_750665_length_348_cov_2.382253	348	No terminal repeats	1	11	0.9373	NA	1	1.1201	NA	NA
220811_JW_F17_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_352857_length_348_cov_3.054608	348	No terminal repeats	1	11	0.9382	NA	1	0.8949	NA	NA
220806_BK_F5_DNA_salt_contigs_plasmid_summary.tsv	NODE_844095_length_348_cov_3.901024	348	No terminal repeats	1	11	0.942	NA	1	1.1201	NA	NA
220807_MW_S7_DNA_Sed_B_contigs_plasmid_summary.tsv	NODE_659086_length_348_cov_1.604096	348	No terminal repeats	1	11	0.9425	NA	1	1.1201	NA	NA
220806_BK_F5_DNA_salt_contigs_plasmid_summary.tsv	NODE_844907_length_348_cov_2.716724	348	No terminal repeats	1	11	0.9447	NA	1	1.7145	NA	NA
220811_JW_F17_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_354381_length_348_cov_0.924915	348	No terminal repeats	1	11	0.9455	NA	1	1.1201	NA	NA
220808_BK_F12_DNA_salt_contigs_plasmid_summary.tsv	NODE_340894_length_348_cov_11.883959	348	No terminal repeats	1	11	0.9459	NA	1	1.1201	NA	NA
220804_BK_C1_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_703787_length_348_cov_2.498294	348	No terminal repeats	1	11	0.9479	NA	1	1.1201	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_669313_length_348_cov_3.781570	348	No terminal repeats	1	11	0.9491	NA	1	1.5207	NA	NA
220808_BK_F13_DNA_mat_brick_1_contigs_plasmid_summary.tsv	NODE_462988_length_348_cov_2.750853	348	No terminal repeats	1	11	0.9492	NA	1	1.1201	NA	NA
220812_MW_F11_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_534625_length_348_cov_4.614334	348	No terminal repeats	1	11	0.9543	NA	1	1.4963	NA	NA
220808_BK_F14_DNA_mat_black_1_contigs_plasmid_summary.tsv	NODE_783217_length_348_cov_1.310580	348	No terminal repeats	1	11	0.96	NA	1	1.7183	NA	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_335737_length_348_cov_1.627986	348	No terminal repeats	1	11	0.9607	NA	1	1.7183	MOBF	NA
220808_BK_F11_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_860338_length_348_cov_0.853242	348	No terminal repeats	1	11	0.9608	NA	1	1.7183	NA	NA
220808_BK_F13_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_620061_length_348_cov_1.952218	348	No terminal repeats	1	11	0.9609	NA	1	1.567	NA	NA
220809_MW_S9_DNA_BrineC_A_contigs_plasmid_summary.tsv	NODE_212381_length_348_cov_1.907850	348	No terminal repeats	1	11	0.9624	NA	1	1.4225	NA	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_273768_length_348_cov_8.846416	348	No terminal repeats	1	11	0.9636	NA	1	1.4225	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_231511_length_348_cov_118.122867	348	No terminal repeats	1	11	0.9654	NA	1	0.9293	NA	NA
220806_BK_F6E_DNA_mat_brown_contigs_plasmid_summary.tsv	NODE_298529_length_348_cov_1.713311	348	No terminal repeats	1	11	0.9665	NA	1	1.3753	NA	NA
220811_JW_F20_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_541849_length_348_cov_3.109215	348	No terminal repeats	1	11	0.9704	NA	1	1.7118	NA	NA
220806_BK_F6E_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_250317_length_348_cov_2.784983	348	No terminal repeats	1	11	0.9756	NA	1	1.6999	T_virB2	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_106521_length_348_cov_2.590444	348	No terminal repeats	1	11	0.976	NA	1	0.9293	NA	NA
220805_BK_F1_DNA_brine_contigs_plasmid_summary.tsv	NODE_206497_length_348_cov_2.255973	348	No terminal repeats	1	11	0.9791	NA	1	1.134	NA	NA
220806_BK_F5_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_588346_length_348_cov_3.959044	348	No terminal repeats	1	11	0.9811	NA	1	1.3717	NA	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_429720_length_348_cov_1.686007	348	No terminal repeats	1	11	0.9858	NA	1	1.7183	NA	NA
220812_MW_F11_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_535864_length_348_cov_2.293515	348	No terminal repeats	1	11	0.9875	NA	1	1.7183	NA	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_562902_length_348_cov_2.293515	348	No terminal repeats	1	11	0.9887	NA	1	1.7183	F_traE	NA
220811_JW_F20_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_541233_length_348_cov_8.621160	348	No terminal repeats	1	11	0.9889	NA	1	1.7183	NA	NA
220808_BK_F13_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_617739_length_349_cov_1.183673	349	No terminal repeats	2	11	0.7123	NA	1	1.0862	NA	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_362365_length_349_cov_2.159864	349	No terminal repeats	1	11	0.7231	NA	1	1.0742	T_virB5	NA
220807_MW_S8_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_645534_length_349_cov_1.170068	349	No terminal repeats	2	11	0.726	NA	1	1.0283	NA	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_557288_length_349_cov_3.612245	349	No terminal repeats	1	11	0.7344	NA	1	1.0283	NA	NA
220807_MW_S8_DNA_Mat_A_contigs_plasmid_summary.tsv	NODE_747510_length_349_cov_1.448980	349	No terminal repeats	1	11	0.7421	NA	1	0.9672	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_271134_length_349_cov_2.486395	349	No terminal repeats	1	11	0.761	NA	1	1.2067	T_virB5	NA
220810_MW_S8_DNA_sed_C_contigs_plasmid_summary.tsv	NODE_171939_length_349_cov_1.775510	349	No terminal repeats	1	11	0.7621	NA	1	1.1702	G_tfc7	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_115787_length_349_cov_3.204082	349	No terminal repeats	1	11	0.7707	NA	1	1.1508	I_traI	NA
220808_BK_F13_DNA_mat_brick_2_contigs_plasmid_summary.tsv	NODE_196813_length_349_cov_2.088435	349	No terminal repeats	1	11	0.7816	NA	1	1.2598	T_virB6	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_272315_length_349_cov_2.989796	349	No terminal repeats	1	11	0.7826	NA	1	1.2266	F_traF	NA
220808_BK_F13_DNA_sed_beige_contigs_plasmid_summary.tsv	NODE_382315_length_349_cov_3.523810	349	No terminal repeats	1	11	0.7952	NA	1	1.3148	T_virB8	NA
220806_BK_F6E_DNA_mat_orange_contigs_plasmid_summary.tsv	NODE_452306_length_349_cov_1.292517	349	No terminal repeats	1	11	0.7967	NA	1	1.1134	virb4	NA
220807_MW_S8_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_646155_length_349_cov_0.901361	349	No terminal repeats	2	11	0.8045	NA	1	1.0574	NA	NA
220808_BK_F13_DNA_sed_core_contigs_plasmid_summary.tsv	NODE_843944_length_349_cov_0.877551	349	No terminal repeats	2	11	0.8187	NA	1	1.4409	F_traL	NA
220811_JW_F17_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_351181_length_349_cov_2.346939	349	No terminal repeats	1	11	0.8206	NA	1	1.1986	T_virB3	NA
220807_MW_S8_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_643942_length_349_cov_1.782313	349	No terminal repeats	1	11	0.8295	NA	1	1.2258	T_virB8	NA
220806_BK_F5_DNA_salt_contigs_plasmid_summary.tsv	NODE_840392_length_349_cov_2.530612	349	No terminal repeats	1	11	0.8353	NA	1	1.1997	F_traB	NA
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_712827_length_349_cov_1.959184	349	No terminal repeats	1	11	0.8367	NA	1	1.331	NA	NA
220808_BK_F13_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_185675_length_349_cov_1.306122	349	No terminal repeats	2	11	0.8626	NA	1	1.5207	NA	NA
220816_LF_B6_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_351480_length_349_cov_3.238095	349	No terminal repeats	2	11	0.8829	NA	1	1.5207	NA	NA
220808_BK_F10_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_271923_length_349_cov_27.931973	349	No terminal repeats	1	11	0.9096	NA	1	0.663	NA	NA
220805_MW_S2_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_400518_length_349_cov_2.360544	349	No terminal repeats	1	11	0.9136	NA	1	1.5922	NA	NA
220808_BK_F14_DNA_mat_black_2_contigs_plasmid_summary.tsv	NODE_799507_length_349_cov_0.965986	349	No terminal repeats	1	11	0.9186	NA	1	1.1151	NA	NA
220805_MW_S4_DNA_sed_contigs_plasmid_summary.tsv	NODE_500838_length_349_cov_1.295918	349	No terminal repeats	1	11	0.921	NA	1	1.5789	NA	NA
220812_MW_F9_DNA_Porewater_A_contigs_plasmid_summary.tsv	NODE_182053_length_349_cov_1.959184	349	No terminal repeats	1	11	0.9267	NA	1	0.9963	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_666697_length_349_cov_2.214286	349	No terminal repeats	1	11	0.9304	NA	1	1.1201	NA	NA
220806_BK_F6D_DNA_sed_contigs_plasmid_summary.tsv	NODE_847907_length_349_cov_1.629252	349	No terminal repeats	1	11	0.9398	NA	1	1.1201	NA	NA
220807_MW_S7_DNA_Porewater_2_A_contigs_plasmid_summary.tsv	NODE_689659_length_349_cov_1.891156	349	No terminal repeats	1	11	0.9418	NA	1	1.7156	NA	NA
220807_MW_S7_DNA_Salt_Mat_contigs_plasmid_summary.tsv	NODE_719483_length_349_cov_2.367347	349	No terminal repeats	1	11	0.9418	NA	1	1.1201	NA	NA
220809_MW_S9_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_122983_length_349_cov_1.248299	349	No terminal repeats	1	11	0.9447	NA	1	0.9293	NA	NA
220811_JW_F20_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_539543_length_349_cov_1.693878	349	No terminal repeats	1	11	0.9502	NA	1	1.1201	NA	NA
220805_BK_F1_DNA_brine_contigs_plasmid_summary.tsv	NODE_205729_length_349_cov_1.037415	349	No terminal repeats	1	11	0.9544	NA	1	1.6894	NA	NA
220808_BK_F14_DNA_mat_dualtone_contigs_plasmid_summary.tsv	NODE_543816_length_349_cov_2.598639	349	No terminal repeats	1	11	0.9582	NA	1	1.6827	NA	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_333049_length_349_cov_1.469388	349	No terminal repeats	1	11	0.9603	NA	1	1.5023	NA	NA
220808_BK_F14_DNA_hard_red_contigs_plasmid_summary.tsv	NODE_721299_length_349_cov_2.258503	349	No terminal repeats	1	11	0.9613	NA	1	0.9015	NA	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_183537_length_349_cov_46.173469	349	No terminal repeats	1	11	0.9621	NA	1	1.4225	NA	NA
220808_BK_F13_DNA_mat_red_contigs_plasmid_summary.tsv	NODE_848313_length_349_cov_1.244898	349	No terminal repeats	1	11	0.9626	NA	1	0.9172	NA	NA
220805_BK_F1_DNA_brine_contigs_plasmid_summary.tsv	NODE_205627_length_349_cov_1.285714	349	No terminal repeats	1	11	0.9645	NA	1	1.6894	NA	NA
220812_MW_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_184278_length_349_cov_1.734694	349	No terminal repeats	1	11	0.9654	NA	1	1.4793	NA	NA
220808_BK_F14_DNA_mat_black_2_contigs_plasmid_summary.tsv	NODE_798521_length_349_cov_1.632653	349	No terminal repeats	1	11	0.966	NA	1	1.7118	NA	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_146143_length_349_cov_2.506803	349	No terminal repeats	1	15	0.9666	NA	1	0.663	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_230585_length_349_cov_2.421769	349	No terminal repeats	1	11	0.9673	NA	1	1.4225	NA	NA
220806_BK_F5_DNA_salt_contigs_plasmid_summary.tsv	NODE_842336_length_349_cov_1.435374	349	No terminal repeats	1	11	0.9687	NA	1	1.2565	MOBV	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_105595_length_349_cov_2.972789	349	No terminal repeats	1	11	0.9706	NA	1	0.9293	NA	NA
220813_LF_F9_DNA_Brine_contigs_plasmid_summary.tsv	NODE_115923_length_349_cov_1.455782	349	No terminal repeats	1	11	0.9719	NA	1	1.2389	NA	NA
220811_MW_F13_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_542813_length_349_cov_4.768707	349	No terminal repeats	1	11	0.9745	NA	1	1.5521	T_virB8	NA
220805_MW_S4_DNA_sed_contigs_plasmid_summary.tsv	NODE_499128_length_349_cov_2.673469	349	No terminal repeats	2	11	0.98	NA	2	2.8371	T_virB3	NA
220806_MW_S6_DNA_Brine_contigs_plasmid_summary.tsv	NODE_259151_length_349_cov_1.982993	349	No terminal repeats	1	11	0.9823	NA	1	0.9293	NA	NA
220811_MW_F13_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_542780_length_349_cov_4.986395	349	No terminal repeats	2	11	0.9827	NA	2	3.0139	T_virB3;T_virB2	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_668566_length_349_cov_0.979592	349	No terminal repeats	1	11	0.9869	NA	1	1.7183	NA	NA
220808_BK_F13_DNA_mat_red_contigs_plasmid_summary.tsv	NODE_847115_length_349_cov_1.853741	349	No terminal repeats	1	11	0.987	NA	1	1.7183	NA	NA
220806_BK_F5_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_584505_length_349_cov_4.523810	349	No terminal repeats	1	11	0.9884	NA	1	1.7183	NA	NA
220805_MW_S1_DNA_Brine_contigs_plasmid_summary.tsv	NODE_231357_length_349_cov_1.108844	349	No terminal repeats	1	11	0.9898	NA	1	1.7183	NA	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_207121_length_349_cov_20.809524	349	No terminal repeats	1	11	0.9901	NA	1	1.7183	NA	NA
220808_BK_F14_DNA_mat_dualtone_contigs_plasmid_summary.tsv	NODE_543808_length_349_cov_2.605442	349	No terminal repeats	1	11	0.9911	NA	1	1.7183	NA	NA
220806_BK_F6E_DNA_sed_black_contigs_plasmid_summary.tsv	NODE_427805_length_349_cov_1.306122	349	No terminal repeats	1	11	0.9915	NA	1	1.7183	NA	NA
